#Source_Name,ASSOC_GAM,ASSOC_TEV,CLASS,ASSOC1,ASSOC2,Flags
4FGL J0043.5-0442,3FHL J0043.4-0443,,bll,1RXS J004333.7-044257,,0
4FGL J0043.6+2223,,,bcu,TXS 0040+221,,0
4FGL J0043.7-1116,3FGL J0043.7-1117,,bll,1RXS J004349.3-111612,,0
4FGL J0043.8+3425,3FHL J0043.8+3425,,fsrq,GB6 J0043+3426,,0
4FGL J0044.2-8424,3FGL J0046.7-8419,,fsrq,PKS 0044-84,,0
4FGL J0044.8+6802,,,bcu,LQAC 011+068,,4
4FGL J0045.1-3706,3FGL J0045.2-3704,,bcu,PKS 0042-373,,0
4FGL J0045.3+2128,3FHL J0045.3+2127,,bll,GB6 J0045+2127,,0
4FGL J0045.7+1217,3FHL J0045.7+1217,,bll,GB6 J0045+1217,,0
4FGL J0045.9-2021,,,,,,0
4FGL J0046.7-7048,,,,,,0
4FGL J0047.0+5657,3FHL J0047.0+5657,,bll,GB6 J0047+5657,,0
4FGL J0047.1-6203,,,bcu,PKS 0045-623,,0
4FGL J0047.3+6943,,,unk,1RXS J004724.5+694222,,0
4FGL J0047.5-2517,3FHL J0047.6-2517,NGC 253,sbg,NGC 253,,0
4FGL J0047.9+3947,3FHL J0047.9+3947,,bll,B3 0045+395,,0
4FGL J0047.9+5448,3FHL J0047.9+5448,,unk,NVSS J004751+544744,,0
4FGL J0047.9+2233,3FGL J0048.0+2236,,fsrq,GB6 J0048+2234,,0
4FGL J0048.6-6347,3FGL J0048.1-6343,,,,,0
4FGL J0048.6-2427,,,bcu,1RXS J004836.9-242631,,0
4FGL J0049.0+2252,,,bll,CRATES J004901.37+225315.4,,0
4FGL J0049.1+4223,3FHL J0049.0+4224,,bcu,GALEXASC J004859.14+422351.4,,0
4FGL J0049.4-5402,3FGL J0049.4-5401,,bcu,PMN J0049-5402,,0
4FGL J0049.5-4150,3FGL J0049.4-4149,,bcu,1RXS J004939.9-415133,,0
4FGL J0049.6-4500,3FGL J0050.0-4458,,bcu,PMN J0049-4457,,0
4FGL J0049.7+0237,3FHL J0049.7+0238,,bll,PKS 0047+023,,0
4FGL J0050.0-5736,3FGL J0049.8-5737,,fsrq,PKS 0047-579,,0
4FGL J0050.4-0452,3FGL J0050.4-0449,,fsrq,PKS 0047-051,,0
4FGL J0050.7-0929,3FHL J0050.7-0929,,BLL,PKS 0048-09,,0
4FGL J0051.1-0648,3FHL J0051.0-0647,,fsrq,PKS 0048-071,,0
4FGL J0051.2-6242,3FHL J0051.2-6242,,bll,1RXS J005117.7-624154,,0
4FGL J0051.5-4220,,,fsrq,PKS 0048-427,,0
4FGL J0052.1+6444,3FGL J0051.6+6445,,,,,0
4FGL J0052.9-6644,,,bcu,PMN J0052-6641,,0
4FGL J0054.4+8627,,,bcu,WN B0046.2+8611,,0
4FGL J0054.7-2455,3FHL J0054.7-2456,,bll,FRBA J0054-2455,,0
4FGL J0054.8-1954,,,bcu,TXS 0052-201,,0
4FGL J0055.1-1219,3FGL J0055.2-1213,,bcu,TXS 0052-125,,0
4FGL J0055.7+4507,3FHL J0055.8+4507,,,,,0
4FGL J0056.3-0935,3FHL J0056.3-0936,,bll,TXS 0053-098,,0
4FGL J0056.4-2118,3FHL J0056.5-2118,,bll,PMN J0056-2117,,0
4FGL J0056.6-4452,,,bcu,2MASS J00565461-4452110,,0
4FGL J0056.6-5317,,,bcu,CRATES J005630.93-531931.5,,0
4FGL J0056.7-3935,,,,,,2048
4FGL J0056.8+1626,,,bll,TXS 0054+161,,0
4FGL J0057.5+6814,,,,,,0
4FGL J0057.7+3023,,,rdg,NGC 315,,0
4FGL J0057.9+6326,3FHL J0057.9+6325,,,,,0
4FGL J0058.0-7245e,1FGL J0101.3-7257,,GAL,SMC,,4
4FGL J0058.0-0539,3FGL J0057.9-0542,,fsrq,PKS 0055-059,,0
4FGL J0058.0-3233,3FHL J0058.0-3234,,bll,PKS 0055-328,,0
4FGL J0058.1+6915,,,,,,0
4FGL J0058.3-4603,,,,,,0
4FGL J0058.4+3315,3FGL J0058.3+3315,,fsrq,MG3 J005830+3311,,0
4FGL J0058.6-1140,,,,,,0
4FGL J0059.2+0006,3FGL J0059.6+0003,,fsrq,PKS 0056-00,,0
4FGL J0059.3-0152,3FHL J0059.3-0152,,bll,RX J0059.3-0150,,0
4FGL J0059.4-5654,3FGL J0059.1-5701,,,,,0
4FGL J0059.5-3512,3FHL J0059.4-3513,,bll,1RXS J005932.3-351049,,0
4FGL J0100.3+0745,3FHL J0100.3+0746,,bll,GB6 J0100+0745,,0
4FGL J0101.0-0059,,,bll,NVSS J010058-005547,,0
4FGL J0101.1-6422,3FGL J0101.0-6422,,PSR,PSR J0101-6422,,0
4FGL J0101.7-5455,,,bcu,MRSS 151-121576,,0
4FGL J0101.8-7543,,,fsrq,PKS 0101-76,,4
4FGL J0102.0-6240,,,,,,0
4FGL J0102.0+1639,,,bcu,TXS 0059+163,,0
4FGL J0102.1+4458,3FGL J0102.1+4458,,,,,4
4FGL J0102.3+1000,,,,,,0
4FGL J0102.4+4214,3FGL J0102.3+4217,,fsrq,GB6 J0102+4214,,0
4FGL J0102.4+0942,3FGL J0102.1+0943,,bcu,2MASS J01021713+0944098,,0
4FGL J0102.6-5639,,,bcu,MRSS 151-117213,,2
4FGL J0102.7-2001,3FHL J0102.8-2001,,bcu,PMN J0102-2001,,0
4FGL J0102.8+5824,3FHL J0102.8+5825,,fsrq,TXS 0059+581,,0
4FGL J0102.8+4839,3FHL J0102.8+4838,,PSR,PSR J0102+4839,,0
4FGL J0103.1+4954,,,bcu,GB6 J0103+4959,,0
4FGL J0103.5+1526,,,bll,TXS 0100+151,,0
4FGL J0103.5+5337,3FHL J0103.5+5337,,bll,RX J0103.3+5337,,0
4FGL J0103.8+1321,3FGL J0103.7+1323,,bll,NVSS J010345+132346,,0
4FGL J0104.6-0818,,,,,,0
4FGL J0104.8-2416,3FGL J0105.1-2415,,fsrq,PKS 0102-245,,0
4FGL J0105.1+3929,3FGL J0105.3+3928,,bll,GB6 J0105+3928,,0
4FGL J0106.4+4855,3FHL J0106.5+4856,,PSR,PSR J0106+4855,,0
4FGL J0106.9-4832,,,bcu,GALEXASC J010704.23-483129.5,,0
4FGL J0107.3-1210,3FGL J0107.0-1208,,bcu,PMN J0107-1211,,0
4FGL J0108.1-0039,3FGL J0108.5-0035,,fsrq,PKS 0105-008,,0
4FGL J0108.6+0134,3FHL J0108.7+0135,,fsrq,4C +01.02,,0
4FGL J0109.1+1815,3FHL J0109.1+1817,,bll,MG1 J010908+1816,,0
4FGL J0109.3+2401,,,bcu,GB6 J0109+2400,,0
4FGL J0109.7+6133,3FGL J0109.8+6132,,fsrq,TXS 0106+612,,0
4FGL J0110.0-4019,3FHL J0109.9-4020,,bll,RBS 0158,,0
4FGL J0110.1+6805,3FHL J0110.1+6806,,bll,4C +67.04,,0
4FGL J0110.7-1254,3FGL J0110.9-1254,,bll,1RXS J011050.0-125455,,0
4FGL J0110.9+4344,3FHL J0110.9+4346,,,,,0
4FGL J0111.4+0534,3FGL J0111.5+0535,,bll,1RXS J011130.5+053612,,0
4FGL J0111.5-2546,,,bcu,NVSS J011130-254531,,0
4FGL J0112.0+3442,,,,,,1
4FGL J0112.0-6634,,,fsrq,PKS 0110-668,,0
4FGL J0112.1+2245,3FHL J0112.1+2245,S2 0109+22,BLL,S2 0109+22,,0
4FGL J0112.1-0321,,,fsrq,TXS 0110-037,,0
4FGL J0112.8-7506,3FGL J0112.9-7506,,bll,2MASS J01123146-7506179,,0
4FGL J0112.8+3208,3FHL J0112.9+3208,,fsrq,4C +31.03,,0
4FGL J0113.1-3553,3FGL J0113.0-3554,,fsrq,PMN J0113-3551,,0
4FGL J0113.4+4948,3FHL J0113.5+4948,,fsrq,S4 0110+49,,0
4FGL J0113.7+0225,,,bll,UGC 773,,0
4FGL J0114.0+6418,,,bcu,GB6 J0113+6416,,0
4FGL J0114.8+1326,3FHL J0114.8+1324,,bll,GB6 J0114+1325,,0
4FGL J0114.9-3400,3FHL J0114.9-3359,,bll,1RXS J011501.3-340008,,0
4FGL J0115.1+2622,,,bcu,1RXS J011451.8+262337,,0
4FGL J0115.1-0129,,,fsrq,PKS 0112-017,,0
4FGL J0115.4-2917,3FHL J0115.4-2916,,,,,0
4FGL J0115.6+0356,3FHL J0115.5+0358,,bll,PMN J0115+0356,,0
4FGL J0115.8+2519,3FHL J0115.8+2519,,bll,RX J0115.7+2519,,0
4FGL J0116.0-1136,3FGL J0116.0-1134,,fsrq,PKS 0113-118,,0
4FGL J0116.0-2745,3FHL J0115.9-2746,,bll,1RXS J011555.6-274428,,0
4FGL J0116.2-6153,3FHL J0116.2-6153,,bll,SUMSS J011619-615343,,0
4FGL J0116.5-2812,,,bll,1RXS J011637.7-281146,,0
4FGL J0116.5-3046,,,fsrq,PKS 0113-310,,0
4FGL J0116.8+6914,3FGL J0116.8+6913,,,,,0
4FGL J0117.5-2442,,,bll,1RXS J011746.6-244329,,0
4FGL J0117.8-2109,3FHL J0117.7-2109,,fsrq,PKS 0115-214,,0
4FGL J0118.3-6008,,,,,,0
4FGL J0118.9-2141,3FHL J0118.9-2141,,fsrq,PKS 0116-219,,0
4FGL J0119.0-1458,3FHL J0119.0-1458,,bll,1RXS J011905.4-145906,,0
4FGL J0119.4-5354,,,bcu,PKS 0117-542,,0
4FGL J0119.6+4158,,,bcu,2MASX J01200274+4200139,,0
4FGL J0119.9+4053,,,bcu,CRATES J012018+405314,,0
4FGL J0120.1+0505,,,,,,0
4FGL J0120.2-7944,,,,,,4
4FGL J0120.4-2701,3FHL J0120.4-2701,,bll,PKS 0118-272,,0
4FGL J0121.7+5153,3FGL J0121.7+5154,,bcu,2MASS J01213367+5155520,,0
4FGL J0121.8-3916,3FHL J0121.9-3917,,bcu,2MASS J01215268-3915443,,0
4FGL J0123.1+3421,3FHL J0123.0+3422,,bll,1ES 0120+340,,0
4FGL J0123.7-2311,3FHL J0123.6-2309,,bll,1RXS J012338.2-231100,,0
4FGL J0124.6+3155,,,,,,2
4FGL J0124.8-0625,3FGL J0125.2-0627,,bll,PMN J0124-0624,,0
4FGL J0125.3-2548,3FGL J0125.4-2548,,bll,PKS 0122-260,,0
4FGL J0125.7-0015,,,fsrq,PKS 0122-00,,2
4FGL J0125.9-6303,,,,,,0
4FGL J0126.0-2221,3FGL J0126.1-2227,,fsrq,PKS 0123-226,,0
4FGL J0126.3-6746,,,,,,0
4FGL J0126.8+2412,,,,,,0
4FGL J0127.1+3310,,,bll,NVSS J012656+330727,,0
4FGL J0127.2-0819,3FHL J0127.3-0821,,bll,PMN J0127-0821,,0
4FGL J0127.2+0324,3FHL J0127.2+0325,,bll,NVSS J012713+032259,,0
4FGL J0127.4-4813,,,bcu,PMN J0127-4813,,0
4FGL J0127.9+4857,3FGL J0127.6+4851,,bll,GB6 J0128+4901,,0
4FGL J0128.2+4400,,,,,,0
4FGL J0128.3+5710,,,,,,0
4FGL J0128.5+4440,3FGL J0128.5+4430,,fsrq,GB6 J0128+4439,,0
4FGL J0129.0+6312,3FGL J0128.4+6257,,spp,2MASS J01283059+6306298,,2
4FGL J0129.7+3436,,,bcu,TXS 0126+343,,0
4FGL J0129.8+1440,3FGL J0130.8+1441,,fsrq,4C +14.06,,0
4FGL J0130.4-2129,,,,,,0
4FGL J0130.6+1844,,,bcu,MG1 J013030+1843,,0
4FGL J0131.1+6120,3FHL J0131.1+6120,,bll,RX J0131.0+6120,,0
4FGL J0131.2+5547,3FHL J0131.1+5546,,bcu,TXS 0128+554,,0
4FGL J0131.7-5346,3FGL J0132.1-5340,,,,,0
4FGL J0132.1-0956,,,,,,0
4FGL J0132.7-1654,3FHL J0132.6-1655,,fsrq,PKS 0130-17,,0
4FGL J0132.7-0804,3FGL J0132.5-0802,,bcu,PKS 0130-083,,0
4FGL J0132.8-4413,3FGL J0133.0-4413,,bll,SUMSS J013306-441422,,0
4FGL J0132.8+4324,3FGL J0133.3+4324,,bcu,B3 0129+431,,0
4FGL J0133.1-5201,3FGL J0133.2-5159,,bcu,PKS 0131-522,,0
4FGL J0133.2-4533,3FHL J0133.1-4533,,bcu,1RXS J013308.8-453528,,0
4FGL J0134.3-3842,3FGL J0134.3-3842,,fsrq,PMN J0134-3843,,0
4FGL J0134.5+2637,3FHL J0134.4+2638,,fsrq,RX J0134.4+2638,,0
4FGL J0135.0+5338,,,bcu,LQAC 023+053,,0
4FGL J0135.1+0255,,,bcu,1RXS J013506.7+025558,,0
4FGL J0136.5+3906,3FHL J0136.5+3906,RGB J0136+391,bll,B3 0133+388,,512
4FGL J0137.0+4751,3FHL J0136.9+4751,,fsrq,OC 457,,0
4FGL J0137.3-3239,,,,,,0
4FGL J0137.6-2430,3FGL J0137.6-2430,,fsrq,PKS 0135-247,,0
4FGL J0137.9+5814,3FHL J0137.9+5815,,bll,TXS 0134+579,,0
4FGL J0138.0+2247,3FHL J0138.0+2248,,bll,GB6 J0138+2248,,0
4FGL J0138.5-4613,3FGL J0138.5-4612,,bcu,PMN J0138-4614,,0
4FGL J0138.6+6821,,,unk,87GB 013451.9+680621,,4
4FGL J0139.0+2601,,,bcu,87GB 013613.2+254538,,0
4FGL J0139.5-2228,,,,,,0
4FGL J0140.3+7054,3FHL J0140.3+7054,,,,,0
